Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-03-06,102003,3461,55863,42679,3914,3.39,54.77,6.2,94
2020-03-07,106098,3565,58357,44176,4100,3.36,55.0,6.11,95
2020-03-08,110047,3805,60694,45548,3951,3.46,55.15,6.27,100
2020-03-09,114219,3995,62493,47731,4172,3.5,54.71,6.39,103
2020-03-10,119041,4269,64400,50372,4824,3.59,54.1,6.63,106
2020-03-11,126702,4613,66998,55091,7690,3.64,52.88,6.89,112
2020-03-12,132492,4920,68321,59251,5794,3.71,51.57,7.2,114
2020-03-13,146876,5417,70248,71211,14390,3.69,47.83,7.71,120
2020-03-14,157950,5837,72620,79493,11074,3.7,45.98,8.04,135
2020-03-15,169219,6480,76031,86708,11269,3.83,44.93,8.52,139
2020-03-16,184027,7158,78086,98783,14810,3.89,42.43,9.17,144
2020-03-17,199970,7976,80830,111164,15946,3.99,40.42,9.87,147
2020-03-18,219535,8889,83317,127329,19565,4.05,37.95,10.67,151
2020-03-19,246584,10005,84958,151621,27051,4.06,34.45,11.78,155
2020-03-20,277359,11493,87403,178463,30775,4.14,31.51,13.15,162
2020-03-21,309350,13217,91650,204483,31991,4.27,29.63,14.42,164
2020-03-22,344205,14908,97867,231430,34855,4.33,28.43,15.23,169
2020-03-23,387040,16862,98335,271843,42836,4.36,25.41,17.15,170
2020-03-24,428219,19156,107974,301089,41197,4.47,25.21,17.74,172
2020-03-25,479220,21976,113753,343491,51001,4.59,23.74,19.32,175
2020-03-26,542097,25017,122125,394955,62881,4.61,22.53,20.48,175
2020-03-27,607138,28511,130910,447717,65042,4.7,21.56,21.78,176
2020-03-28,674418,32251,139421,502746,67280,4.78,20.67,23.13,177
2020-03-29,733655,35777,148877,549001,59238,4.88,20.29,24.03,177
2020-03-30,798949,39870,164214,594865,65295,4.99,20.55,24.28,178
2020-03-31,875794,44637,177804,653353,76845,5.1,20.3,25.1,180
2020-04-01,958629,50650,193076,714903,82836,5.28,20.14,26.23,180
2020-04-02,1041679,56543,210219,774917,83050,5.43,20.18,26.9,181
2020-04-03,1125250,62725,225641,836884,83571,5.57,20.05,27.8,181
2020-04-04,1183609,68680,246053,868876,75433,5.8,20.79,27.91,181
2020-04-05,1256219,73917,259889,922413,72612,5.88,20.69,28.44,182
2020-04-06,1329371,79890,276598,972883,73152,6.01,20.81,28.88,183
2020-04-07,1399212,88195,299860,1011157,73332,6.3,21.43,29.41,183
2020-04-08,1482610,95041,328742,1058827,83398,6.41,22.17,28.91,183
2020-04-09,1569630,102912,353996,1112722,87020,6.56,22.55,29.07,183
2020-04-10,1655153,110343,375734,1169076,85523,6.67,22.7,29.37,184
2020-04-11,1729417,116604,401984,1210829,74264,6.74,23.24,29.01,184
2020-04-12,1849112,122545,421367,1305200,119716,6.63,22.79,29.08,184
2020-04-13,1919853,128600,448624,1342629,70741,6.7,23.37,28.67,184
2020-04-14,2003857,135670,473698,1394489,84004,6.77,23.64,28.64,184
2020-04-15,2080973,144258,510237,1426478,77116,6.93,24.52,28.27,184
2020-04-16,2176491,151642,541120,1483729,95518,6.97,24.86,28.02,184
2020-04-17,2264524,160170,567304,1537050,88033,7.07,25.05,28.23,184
2020-04-18,2341739,166405,591170,1584164,77216,7.11,25.24,28.15,184
2020-04-19,2418310,171749,622953,1623608,76571,7.1,25.76,27.57,184
2020-04-20,2494320,177785,645131,1671404,76010,7.13,25.86,27.56,184
2020-04-21,2570078,185216,679933,1704929,75758,7.21,26.46,27.24,184
2020-04-22,2651377,192258,710018,1749101,81299,7.25,26.78,27.08,184
2020-04-23,2735668,199295,738748,1797625,86001,7.29,27.0,26.98,184
2020-04-24,2819764,206247,788777,1824740,94130,7.31,27.97,26.15,184
2020-04-25,2902007,212104,816532,1873371,82243,7.31,28.14,25.98,184
2020-04-26,2973582,216350,845344,1911888,71576,7.28,28.43,25.59,184
2020-04-27,3043786,221358,873228,1949200,70204,7.27,28.69,25.35,184
2020-04-28,3119324,228179,906440,1984705,75538,7.32,29.06,25.17,184
2020-04-29,3196455,235147,948517,2012791,78595,7.36,29.67,24.79,184
2020-04-30,3279935,241208,1013633,2025094,83480,7.35,30.9,23.8,186
2020-05-01,3368292,246690,1051790,2069812,88357,7.32,31.23,23.45,186
2020-05-02,3447490,252516,1092441,2102533,79365,7.32,31.69,23.11,186
2020-05-03,3523887,256363,1124974,2142550,76397,7.28,31.92,22.79,186
2020-05-04,3601559,260965,1159060,2181534,77673,7.25,32.18,22.52,186
2020-05-05,3682058,267091,1195533,2219434,80499,7.25,32.47,22.34,186
2020-05-06,3772095,273959,1241652,2256484,90037,7.26,32.92,22.06,186
2020-05-07,3860819,279652,1281177,2299990,90307,7.24,33.18,21.83,186
2020-05-08,3951089,285567,1317590,2347932,91750,7.23,33.35,21.67,186
2020-05-09,4036352,290164,1371031,2375157,85263,7.19,33.97,21.16,186
2020-05-10,4111266,294175,1404840,2412251,74923,7.16,34.17,20.94,186
2020-05-11,4187924,298111,1451725,2438088,76715,7.12,34.66,20.53,186
2020-05-12,4272394,304015,1488767,2479612,84490,7.12,34.85,20.42,186
2020-05-13,4357399,309497,1544639,2503263,85005,7.1,35.45,20.04,187
2020-05-14,4453629,315072,1584350,2554207,96231,7.07,35.57,19.89,187
2020-05-15,4549347,320714,1632453,2596180,95718,7.05,35.88,19.65,187
2020-05-16,4643762,325271,1688864,2629627,94415,7.0,36.37,19.26,187
2020-05-17,4721809,328839,1729872,2663098,78047,6.96,36.64,19.01,187
2020-05-18,4810975,332990,1782788,2695197,89166,6.92,37.06,18.68,187
2020-05-19,4907722,338130,1834840,2734752,96956,6.89,37.39,18.43,187
2020-05-20,5009628,343326,1893810,2772492,101906,6.85,37.8,18.13,187
2020-05-21,5116275,348407,1945030,2822838,106751,6.81,38.02,17.91,187
2020-05-22,5222689,354085,2053577,2815027,106414,6.78,39.32,17.24,187
2020-05-23,5327481,358399,2108411,2860671,104792,6.73,39.58,17.0,187
2020-05-24,5421702,361876,2163938,2895888,94660,6.67,39.91,16.72,187
2020-05-25,5508408,363492,2227667,2917249,87078,6.6,40.44,16.32,187
2020-05-26,5602388,368156,2282819,2951413,93980,6.57,40.75,16.13,187
2020-05-27,5705152,373555,2346146,2985451,102764,6.55,41.12,15.92,187
2020-05-28,5824433,378567,2413009,3032857,119281,6.5,41.43,15.69,187
2020-05-29,5945341,383725,2490274,3071342,120908,6.45,41.89,15.41,187
2020-05-30,6081855,388110,2560724,3133021,136514,6.38,42.1,15.16,187
2020-05-31,6188259,391267,2637108,3159884,106404,6.32,42.61,14.84,187
2020-06-01,6284232,394782,2692033,3197417,95973,6.28,42.84,14.66,187
2020-06-02,6406196,399985,2796145,3210066,122611,6.24,43.65,14.3,187
2020-06-03,6520447,405826,2875236,3239385,117478,6.22,44.1,14.11,187
2020-06-04,6651410,411265,2945306,3294839,130963,6.18,44.28,13.96,187
2020-06-05,6782636,416326,3014471,3351839,131226,6.14,44.44,13.81,187
2020-06-06,6916355,420541,3086675,3409139,133719,6.08,44.63,13.62,187
2020-06-07,7028730,423727,3141784,3463219,112375,6.03,44.7,13.49,187
2020-06-08,7131206,427892,3293395,3409919,102476,6.0,46.18,12.99,187
2020-06-09,7256265,433107,3375665,3447493,125059,5.97,46.52,12.83,187
2020-06-10,7391371,438582,3454836,3497953,135106,5.93,46.74,12.69,187
2020-06-11,7529424,443653,3540715,3545056,138053,5.89,47.03,12.53,187
2020-06-12,7658151,448461,3620435,3589255,128727,5.86,47.28,12.39,187
2020-06-13,7793444,452920,3706327,3634197,135293,5.81,47.56,12.22,187
2020-06-14,7925721,456567,3777146,3692008,132277,5.76,47.66,12.09,187
2020-06-15,8045387,460404,3857421,3727562,119666,5.72,47.95,11.94,187
2020-06-16,8187468,467543,3955284,3764641,142081,5.71,48.31,11.82,187
2020-06-17,8331222,473099,4074115,3784008,143754,5.68,48.9,11.61,187
2020-06-18,8472296,478407,4155278,3838611,141074,5.65,49.05,11.51,187
2020-06-19,8652193,484792,4250268,3917133,180045,5.6,49.12,11.41,187
2020-06-20,8809651,489311,4366122,3954218,157458,5.55,49.56,11.21,187
2020-06-21,8937355,493908,4434808,4008639,127704,5.53,49.62,11.14,187
2020-06-22,9076708,497647,4526441,4052620,139353,5.48,49.87,10.99,187
2020-06-23,9243514,503221,4630496,4109797,166806,5.44,50.09,10.87,187
2020-06-24,9416110,508761,4746247,4161102,172596,5.4,50.41,10.72,187
2020-06-25,9594500,513798,4839131,4241571,178390,5.36,50.44,10.62,187
2020-06-26,9786102,518882,4945111,4322109,191602,5.3,50.53,10.49,187
2020-06-27,9964218,523672,5051397,4389149,178116,5.26,50.7,10.37,187
2020-06-28,10128093,527190,5140600,4460303,164281,5.21,50.76,10.26,187
2020-06-29,10283456,531217,5235171,4517068,155363,5.17,50.91,10.15,187
2020-06-30,10457988,536424,5352511,4569053,174532,5.13,51.18,10.02,187
2020-07-01,10675596,541735,5468425,4665436,217608,5.07,51.22,9.91,187
2020-07-02,10885548,547158,5753359,4585031,209952,5.03,52.85,9.51,187
2020-07-03,11086923,552452,5863247,4671224,201376,4.98,52.88,9.42,187
2020-07-04,11280744,557245,6059007,4664492,193821,4.94,53.71,9.2,187
2020-07-05,11464726,561074,6178370,4725282,183982,4.89,53.89,9.08,187
2020-07-06,11628722,565312,6302069,4761341,163996,4.86,54.19,8.97,187
2020-07-07,11840091,571654,6447102,4821335,211369,4.83,54.45,8.87,187
2020-07-08,12054250,577284,6605158,4871808,214159,4.79,54.8,8.74,187
2020-07-09,12281090,583074,6739776,4958240,226840,4.75,54.88,8.65,187
2020-07-10,12513766,588705,6879222,5045839,232676,4.7,54.97,8.56,187
2020-07-11,12730232,593917,7004914,5131401,216466,4.67,55.03,8.48,187
2020-07-12,12922492,598292,7116750,5207450,192260,4.63,55.07,8.41,187
2020-07-13,13113970,602608,7257073,5254289,191478,4.6,55.34,8.3,187
2020-07-14,13336173,608626,7399325,5328222,222203,4.56,55.48,8.23,187
2020-07-15,13567611,614474,7559131,5394006,231443,4.53,55.71,8.13,187
2020-07-16,13818969,620660,7711616,5486693,251361,4.49,55.8,8.05,187
2020-07-17,14061686,627704,7895037,5538945,242717,4.46,56.15,7.95,187
2020-07-18,14297865,634276,8045824,5617765,236179,4.44,56.27,7.88,187
2020-07-19,14511279,638957,8133882,5738440,213414,4.4,56.05,7.86,187
2020-07-20,14718412,642986,8293010,5782416,207133,4.37,56.34,7.75,187
2020-07-21,14952034,649385,8467706,5834943,233732,4.34,56.63,7.67,187
2020-07-22,15231917,656742,8647438,5927737,279885,4.31,56.77,7.59,187
2020-07-23,15514776,663367,8823668,6027741,282859,4.28,56.87,7.52,187
2020-07-24,15795846,669826,9051968,6074052,281070,4.24,57.31,7.4,187
2020-07-25,16049938,675975,9271780,6102183,254092,4.21,57.77,7.29,187
2020-07-26,16263015,680302,9415081,6167632,213077,4.18,57.89,7.23,187
2020-07-27,16489477,685534,9586464,6217479,226466,4.16,58.14,7.15,187
2020-07-28,16742217,692256,9756922,6293039,252740,4.13,58.28,7.1,187
2020-07-29,17033965,699268,9959508,6375189,291748,4.11,58.47,7.02,187
2020-07-30,17314074,705906,10173027,6435141,280109,4.08,58.76,6.94,187
2020-07-31,17604811,712485,10372633,6519693,290737,4.05,58.92,6.87,187
